State,Population
AK,"733,406"
AL,"5,108,468"
AR,"3,067,732"
AZ,"7,431,344"
CA,"38,965,193"
CO,"5,877,610"
CT,"3,617,176"
DE,"1,031,890"
FL,"22,610,726"
GA,"11,029,227"
HI,"1,435,138"
IA,"3,207,004"
ID,"1,964,726"
IL,"12,549,689"
IN,"6,862,199"
KS,"2,940,546"
KY,"4,526,154"
LA,"4,573,749"
MA,"7,001,399"
MD,"6,180,253"
ME,"1,395,722"
MI,"10,037,261"
MN,"5,737,915"
MO,"6,196,156"
MS,"2,939,690"
MT,"1,132,812"
NC,"10,835,491"
ND,"783,926"
NE,"1,978,379"
NH,"1,402,054"
NJ,"9,290,841"
NM,"2,114,371"
NV,"3,194,176"
NY,"19,571,216"
OH,"11,785,935"
OK,"4,053,824"
OR,"4,233,358"
PA,"12,961,683"
RI,"1,095,962"
SC,"5,373,555"
SD,"919,318"
TN,"7,126,489"
TX,"30,503,301"
UT,"3,417,734"
VA,"8,715,698"
VT,"647,464"
WA,"7,812,880"
WI,"5,910,955"
WV,"1,770,071"
WY,"584,057"
