Geographic area,2023_PPCS,2022_PPCS,2021_PPCS,2020_PPCS,2019_PPCS,2018_PPCS,2017_PPCS,2016_PPCS,2015_PPCS,2014_PPCS,2013_PPCS,2012_PPCS,2011_PPCS,2010_PPCS,2009_PPCS,2008_PPCS,2007_PPCS
Alabama,,11819.43,10683.12,10116.29,10076.59,9696.18,9510.74,9242.68,9127.93,9027.69,8755.23,8562.06,8812.7,8880.74,8870.0,9103.36,8390.62
Alaska,20339.73,20190.93,19540.42,18313.42,18393.57,17725.94,17837.86,17509.98,20172.49,18415.91,18175.0,17390.4,16673.96,15782.5,15551.82,14629.71,12300.2
Arizona,11297.09,10314.74,9611.16,8784.97,8625.47,8254.8,8004.12,7613.01,7489.5,7527.77,7207.75,7558.92,7665.84,7848.08,7813.27,7607.74,7196.3
Arkansas,12647.94,12159.1,11266.29,10344.88,10387.82,10138.68,9966.56,9845.57,9693.8,9615.73,9394.45,9410.62,9353.38,9143.21,8711.92,8541.25,8283.57
California,18905.78,17049.22,14985.25,14031.3,14034.03,12142.72,12144.78,11495.36,10466.53,9594.76,9219.51,9182.89,9148.75,9374.71,9657.49,9863.39,9152.39
Colorado,14863.6,13422.07,12875.72,11602.36,11029.67,10201.96,9808.6,9574.74,9245.03,8985.19,8646.67,8547.66,8723.76,8852.78,8718.48,9078.58,8166.77
Connecticut,24895.88,24452.96,22769.26,21345.6,21310.45,20634.92,19321.72,18957.84,18377.29,17744.72,16631.12,16273.65,15616.5,14906.37,14531.12,13848.0,12979.33
Delaware,21340.18,19356.75,17447.59,17234.54,16314.69,15638.63,15301.68,14713.37,14120.43,13937.67,13832.89,13864.57,12684.98,12382.7,12257.22,12253.17,11828.96
District of Columbia,,27424.71,24535.11,22855.92,22561.58,22758.86,21974.0,20235.0,19395.65,18485.05,19076.19,17468.47,18475.08,18666.85,16407.68,14594.34,14324.41
Florida,11861.59,11075.89,10401.22,9936.72,9645.31,9346.04,9075.49,8919.96,8881.14,8755.37,8432.6,8371.97,8886.54,8741.32,8760.38,9034.82,8513.77
Georgia,14413.64,13618.66,12145.38,11706.87,11227.55,10809.87,10204.65,9768.71,9427.28,9201.98,9098.58,9247.02,9252.93,9394.03,9650.28,9787.82,9127.35
Hawaii,20055.66,17420.43,16549.96,16564.22,16131.68,15242.0,14321.53,13748.28,12854.72,12399.78,11822.87,12053.78,12004.39,11753.94,12399.5,11799.97,11060.34
Idaho,10203.01,9669.88,9052.83,8271.57,7984.82,7770.6,7486.09,7157.4,6923.09,6620.75,6791.06,6658.57,6823.83,7105.81,7091.62,6931.04,6625.22
Illinois,19598.37,18926.57,18316.16,17376.63,16226.82,15757.14,15336.51,14180.03,13755.33,13076.61,12286.58,12015.02,11834.07,11634.15,10834.55,10246.44,9555.08
Indiana,13120.99,12322.2,11538.08,10935.42,10396.84,10262.21,10045.06,9856.31,9686.79,9547.57,9565.51,9719.1,9371.73,9611.18,9369.36,9036.14,8938.33
Iowa,13791.5,13258.96,12695.25,11958.13,11907.11,11732.34,11461.21,11150.21,10943.96,10667.69,10312.92,10038.28,9806.99,9763.31,9706.84,9267.27,8768.79
Kansas,,14407.68,13436.19,12696.64,11925.78,11652.72,10960.62,9959.64,10039.87,9940.22,9827.8,9748.05,9497.52,9714.61,9951.0,9666.56,8987.65
Kentucky,,13549.37,12125.75,11396.84,11291.14,11110.22,10121.36,9862.91,9630.42,9313.9,9315.9,9391.18,9308.91,8947.95,8755.63,8685.84,8308.78
Louisiana,14644.62,14928.33,13396.75,11843.4,11754.76,11452.05,11199.26,11038.3,11009.53,10748.97,10489.97,11378.51,10723.02,10638.27,10532.73,9954.12,8928.14
Maine,,17884.52,17671.07,15240.15,14613.79,14152.21,13689.83,13281.79,13257.18,12706.86,12147.44,12189.11,12629.93,12258.62,12303.91,11571.69,11387.19
Maryland,18887.2,17752.86,16417.28,15488.58,15148.37,14761.85,14847.69,14205.77,14191.96,14003.02,13829.13,13608.74,13871.4,13738.32,13449.2,12966.11,11723.78
Massachusetts,,21905.75,20375.75,18818.39,17747.6,17058.45,16193.36,15592.74,15592.1,15087.5,14544.96,14142.31,13940.83,13589.86,14118.43,13454.47,12737.89
Michigan,17535.12,15718.57,14084.59,13068.33,12755.91,12345.48,11906.7,11667.99,11482.37,11110.43,10947.97,10855.32,10823.48,10643.58,10482.86,10068.67,9912.08
Minnesota,16116.71,15440.65,14377.67,13603.18,13387.2,12994.59,12647.35,12381.96,11948.66,11463.79,11089.48,10795.89,10711.62,10684.58,11097.67,10140.24,9539.4
Mississippi,12093.1,10983.7,10081.98,9653.05,9284.46,8934.78,8770.78,8701.85,8455.67,8263.15,8130.33,8164.24,7927.88,8119.03,8074.76,7901.0,7473.42
Missouri,13471.72,12630.7,11865.25,11239.75,11200.38,10906.49,10588.91,10312.78,10146.56,9875.32,9597.05,9436.02,9409.71,9633.84,9529.4,9216.2,8529.39
Montana,13768.93,13581.78,13299.04,12100.6,12017.91,11680.06,11456.68,11348.31,11033.21,11016.97,10625.06,10464.49,10638.99,10497.24,10059.25,9666.18,9077.61
Nebraska,15196.87,14284.55,13826.42,12938.8,12743.42,12815.75,12578.65,12298.9,11945.58,11725.89,11579.27,11274.84,10825.12,10733.91,10045.19,9576.96,9141.4
Nevada,,11677.47,10449.62,9814.06,9343.93,9294.57,9319.61,8960.11,8614.77,8414.1,8339.3,8222.96,8526.85,8483.06,8422.02,8284.8,7992.81
New Hampshire,21731.25,21605.0,19443.24,17900.47,17462.41,16892.84,15683.36,15340.22,14696.76,14331.88,13721.3,13592.55,13223.61,12383.36,11932.33,11618.62,10722.67
New Jersey,26279.65,25098.75,22159.56,20671.42,20512.01,19526.25,18920.43,18402.35,18235.43,17899.2,18227.71,17266.24,15968.42,16841.15,16271.06,16490.89,15690.7
New Mexico,15700.31,13259.86,12126.59,11331.62,10176.59,9582.12,9881.41,9692.7,9751.65,9007.6,9012.05,8899.08,9070.2,9383.61,9439.27,9068.21,8635.06
New York,,29872.68,26571.27,25518.51,25139.2,24048.21,23090.74,22366.37,21205.58,20607.48,19817.61,19552.22,19076.03,18618.24,18126.02,17173.43,15981.17
North Carolina,12492.14,12298.38,10654.92,9957.99,9856.82,9376.63,9071.98,8792.05,8687.22,8511.72,8390.15,8200.32,8312.4,8408.76,8587.14,7995.65,7883.36
North Dakota,16114.14,15842.62,15140.15,14242.27,14004.34,13757.58,13759.52,13372.86,13320.08,12357.52,11979.58,11679.05,11420.4,10991.34,10150.7,9675.11,9021.54
Ohio,16475.96,15583.39,14613.5,13804.69,13538.36,13026.91,12645.11,12102.15,11636.8,11349.19,11148.1,11203.8,11222.82,11030.33,10560.1,10173.02,9798.88
Oklahoma,11141.88,10889.57,10497.55,9507.97,9322.57,8238.62,7958.8,8097.02,8082.21,7828.99,7672.4,7466.42,7586.88,7895.72,7884.87,7685.12,7419.66
Oregon,17161.2,15753.88,13875.17,12855.38,12449.7,11919.75,11264.18,10841.59,10442.09,9944.69,9543.37,9490.36,9682.02,9623.63,9805.14,9558.0,9000.43
Pennsylvania,20055.52,19186.28,17884.28,17141.92,16864.41,16395.06,15798.31,15437.01,14716.69,13961.24,13863.9,13339.94,13466.66,12994.93,12511.61,12035.05,11097.86
Rhode Island,21182.0,19962.26,18365.8,16857.09,16750.39,16142.25,15962.31,15531.56,15179.15,14767.35,14415.36,14005.09,13815.42,13698.62,13707.11,13538.77,12611.7
South Carolina,13813.33,13387.0,12495.68,11532.17,11139.97,10856.15,10589.87,10249.07,9953.13,9732.37,9513.61,9147.18,8985.92,9142.7,9277.33,9169.75,8532.72
